longitude,latitude,YR,MO,X,Y,TOT
-73.90084190009622,40.82519901942243,2014,5,1011693,239935,1.0
-73.89499277088689,40.827041036232934,2014,5,1013311,240608,1.0
-73.90685853458255,40.82735863871531,2014,5,1010027,240720,1.0
-73.75174785062967,40.603603199513834,2014,7,1053185,159283,1.0
-73.9213608578124,40.831846069885,2014,5,1006012,242351,1.0
-73.89482314683316,40.8154828679688,2014,5,1013363,236397,1.0
-73.91624090584084,40.83143350267581,2014,5,1007429,242202,2.0
-73.9073175496443,40.850620432954216,2014,5,1009891,249195,1.0
-73.8327820655812,40.87584537476414,2014,5,1030494,258416,1.0
-73.90898518657465,40.86023920000971,2014,5,1009426,252699,1.0
-73.96467136217557,40.62482238516224,2014,5,994057,166918,1.0
-73.94852919519697,40.67602022108043,2014,5,998527,185573,1.0
-73.95820586405968,40.68683854881009,2014,5,995841,189513,1.0
-73.92202262467588,40.627935920224154,2014,5,1005895,168060,2.0
-73.99871172598775,40.73988041197562,2014,6,984607,208835,1.0
-73.99788329411591,40.57754592108863,2014,7,984838,149692,1.0
-73.94334094577749,40.64682155998786,2014,5,999973,174936,1.0
-73.92251035170646,40.69500769877313,2014,5,1005738,192496,1.0
-73.99737898704997,40.67767582389223,2014,5,984977,186172,1.0
-73.9429087272538,40.70553482701854,2014,5,1000079,196327,1.0
-74.0114766890247,40.621769543404156,2014,5,981064,165804,1.0
-73.9325042967899,40.66887551730339,2014,5,1002974,182973,4.0
-73.99109062872306,40.68374969140025,2014,5,986721,188385,1.0
-73.96594370175441,40.62345860805293,2014,5,993704,166421,1.0
-73.93259889788598,40.63590249552171,2014,5,1002957,170960,1.0
-73.93045245031668,40.69377762606769,2014,5,1003536,192046,1.0
-73.89674035144328,40.66021664185815,2014,7,1012899,179828,1.0
-73.87572943670625,40.66678608173834,2014,5,1018725,182229,1.0
-74.01722076346971,40.61605416912028,2014,5,979469,163722,1.0
-73.98386941509482,40.755178518715404,2014,5,988719,214409,1.0
-73.97835548946773,40.75118400846819,2014,5,990247,212954,1.0
-73.94829830971955,40.80643147127314,2014,5,998563,233086,1.0
-73.9777349407326,40.75047300060335,2014,5,990419,212695,1.0
-73.9870275555968,40.737255705509064,2014,5,987845,207879,1.0
-73.99422590893847,40.74350334565719,2014,5,985850,210155,2.0
-73.98463761791938,40.72651244154561,2014,5,988508,203965,2.0
-73.99062780664823,40.718715226993474,2014,5,986848,201124,1.0
-73.94911813035976,40.72630185674903,2014,7,998353,203892,1.0
-73.95108613768554,40.80261203009092,2014,5,997792,231694,1.0
-73.98339641639443,40.75582895620483,2014,5,988850,214646,1.0
-74.00365379449714,40.70836779970648,2014,5,983237,197354,1.0
-73.92809083350903,40.857249986794834,2014,5,1004142,251605,1.0
-73.97809118143972,40.76469633618601,2014,5,990319,217877,2.0
-73.75215034931999,40.70956948600003,2014,5,1052964,197889,1.0
-73.79158294063745,40.69538579226207,2014,5,1042044,192693,1.0
-73.79616045489827,40.68318796530414,2014,5,1040785,188246,1.0
-73.86764104923787,40.755559235176044,2014,5,1020920,214575,1.0
-73.79801233904954,40.69673396122452,2014,5,1040260,193180,2.0
-73.86371673843591,40.75772575522375,2014,7,1022006,215366,1.0
-73.85940818368302,40.67502908008254,2014,5,1023248,185239,1.0
-73.83040620316655,40.678846400329924,2014,5,1031290,186644,1.0
-73.85792134176141,40.75190262933792,2014,5,1023615,213247,1.0
-73.83412538737909,40.68234866920367,2014,5,1030256,187918,1.0
-73.80943493910418,40.68106978739589,2014,5,1037105,187466,1.0
-73.77717002765212,40.69936616229158,2014,5,1046037,194153,1.0
-73.84742600787295,40.679232538615935,2014,5,1026569,186776,2.0
-73.81742393782187,40.67867282499614,2014,5,1034891,186588,1.0
-73.82512750231061,40.68041949126011,2014,5,1032753,187220,1.0
-73.75130671648166,40.707528299153886,2014,5,1053200,197146,1.0
-73.87513950341157,40.75663256915039,2014,7,1018842,214963,1.0
-73.86105061372109,40.75188448863991,2014,5,1022748,213239,1.0
-73.84865552007807,40.73638296725567,2014,5,1026192,207597,1.0
-73.8228242852917,40.68560908738715,2014,5,1033388,189112,1.0
-73.8121545031494,40.67813185551795,2014,5,1036353,186394,1.0
-73.75717841882242,40.69671543809622,2014,5,1051583,193202,1.0
-73.81797028141726,40.68720720585736,2014,5,1034733,189697,1.0
-73.78027666909841,40.69015517447173,2014,5,1045184,190795,1.0
-73.72836939856782,40.70959268084258,2014,5,1059557,197917,1.0
-73.90879849291235,40.83556962977071,2014,5,1009487,243711,1.0
